,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,31.5%,Si KA1-HR-Tr,31.48,0.171%,92.1 PPM,0.00000,Si KB1-HR-Tr/Ox,36,1.17%,0.38%,0,421 PPM
CaO,18.90%,Ca KA1-HR-Tr,18.87,0.145%,62.6 PPM,0.1,Ca KB1-HR-Tr,13.96,0.41%,333.3 PPM,0.00327,197 PPM
Al2O3,9.71%,Al KA1-HR-Tr,9.711,0.303%,101.1 PPM,0.00000,Al KB1-HR-Tr/Ox,9.3,8.29%,0.65%,0,241 PPM
Fe2O3,5.18%,Fe KA1-HR-Tr,5.182,0.129%,73.2 PPM,0.0,Fe KB1-HR-Tr,3.281,0.31%,121.2 PPM,0,13.7 PPM
MgO,2.50%,Mg KA1-HR-Tr,2.5,0.531%,184.3 PPM,0.0,,,,,,114 PPM
K2O,2.26%,K  KA1-HR-Tr,2.263,0.387%,29.9 PPM,0.00000,K  KB1-HR-Tr,1.64,1.17%,291.5 PPM,0,63.7 PPM
TiO2,0.595%,Ti KA1-HR-Tr,0.595,0.939%,52.5 PPM,0.00144,Ti KB1-HR-Tr,0.456,2.61%,647.1 PPM,0.2216,42.5 PPM
Na2O,0.217%,Na KA1-HR-Tr,0.217,3.38%,258.8 PPM,0.01875,,,,,,67.2 PPM
SO3,0.14%,S  KA1-HR-Tr,0.137,2.07%,39.8 PPM,0.00063,,,,,,21.0 PPM
MnO,0.10%,Mn KA1-HR-Tr,0.104,1.090%,22.3 PPM,0.006,Mn KB1-HR-Tr,0.0477,2.77%,282.6 PPM,1.753,8.43 PPM
P2O5,923 PPM,P  KA1-HR-Tr,0.0923,3.28%,53.1 PPM,0.00049,,,,,,24.1 PPM
Sr,412 PPM,Sr KA1-HR-Tr,0.04115,0.58%,6.2 PPM,0.00000,Sr KB1-HR-Tr,0.0231,1.06%,60.7 PPM,8.609,1.94 PPM
Ba,297 PPM,Ba LA1-HR-Tr,0.03,9.64%,142.5 PPM,0.07280,Ba LB1-HR-Tr,0.017,43.50%,204.8 PPM,0.02318,22.6 PPM
V,174 PPM,V  KA1-HR-Tr,0.0174,4.550%,41.8 PPM,0.17160,,,,,,7.12 PPM
Rb,108 PPM,Rb KA1-HR-Tr,0.0108,1.68%,7.4 PPM,0.18280,Rb KB1-HR-Tr,0.0089,4.01%,35.9 PPM,0,1.49 PPM
Ni,97.1 PPM,Ni KA1-HR-Tr,0.0097,3.7%,12.0 PPM,0.00000,Ni KB1-HR-Tr,0.004,78.20%,78.6 PPM,0.00704,2.68 PPM
Zn,94.4 PPM,Zn KA1-HR-Tr,0.0094,2.91%,9.2 PPM,0.0,Zn KB1-HR-Tr,0.005,44.60%,58.6 PPM,0,2.08 PPM
Cr,94.2 PPM,Cr KA1-HR-Tr,0.0094,5.12%,29.6 PPM,0.22350,Cr KB1-HR-Tr,-0.003,589.00%,164.5 PPM,0.09862,4.48 PPM
Zr,92.8 PPM,Zr KA1-HR-Tr,0.0093,1.06%,10.5 PPM,10.0,Zr KB1-HR-Tr,0.0064,4.54%,37.6 PPM,0.00115,1.43 PPM
Cu,81.3 PPM,Cu KA1-HR-Tr,0.0081,3.81%,10.7 PPM,0.00000,Cu KB1-HR-Tr,0.005,44.70%,62.6 PPM,0,2.33 PPM
As,15.6 PPM,As KA1-HR-Tr,0.002,12.20%,7.7 PPM,0.0,As KB1-HR-Tr,0,,43.6 PPM,0,1.49 PPM
Ga,14.0 PPM,Ga KA1-HR-Tr,0.001,14.80%,8.6 PPM,0.00495,Ga KB1-HR-Tr,0,641.00%,47.1 PPM,0,1.61 PPM
Nb,12.1 PPM,Nb KA1-HR-Tr,0.001,12.0%,6.5 PPM,0.0,Nb KB1-HR-Tr,0.0371,2%,34.8 PPM,0,1.21 PPM
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
