,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,36.8%,Si KA1-HR-Tr,36.85,0.158%,84.3 PPM,0.0,Si KB1-HR-Tr/Ox,43.1,1.07%,0.36%,0,451 PPM
Al2O3,11.4%,Al KA1-HR-Tr,11.41,0.275%,101.1 PPM,0.0,Al KB1-HR-Tr/Ox,10,7.69%,0.66%,0,253 PPM
CaO,11.2%,Ca KA1-HR-Tr,11.17,0.189%,59.1 PPM,0.1082,Ca KB1-HR-Tr,8.058,0.54%,317.7 PPM,0.00392,150 PPM
Fe2O3,5.73%,Fe KA1-HR-Tr,3.745,0.113%,65.3 PPM,0.0,Fe KB1-HR-Tr,5.733,0.267%,107.0 PPM,0,111 PPM
K2O,2.53%,K  KA1-HR-Tr,2.529,0.371%,29.1 PPM,0.0,K  KB1-HR-Tr,1.8,1.12%,271.7 PPM,0,67.9 PPM
MgO,1.27%,Mg KA1-HR-Tr,1.27,0.766%,175.4 PPM,0.00172,,,,,,82.7 PPM
TiO2,0.790%,Ti KA1-HR-Tr,0.79,0.765%,47.5 PPM,0.00284,Ti KB1-HR-Tr,0.536,2.14%,591.8 PPM,0.2794,43.9 PPM
Na2O,845 PPM,Na KA1-HR-Tr,0.085,6.22%,240.5 PPM,0.02462,,,,,,49.2 PPM
P2O5,665 PPM,P  KA1-HR-Tr,0.0665,4.06%,55.4 PPM,0.0008,,,,,,21.5 PPM
MnO,658 PPM,Mn KA1-HR-Tr,0.0658,1.37%,20.1 PPM,0.00724,Mn KB1-HR-Tr,0.0178,2.97%,263.7 PPM,2.249,6.43 PPM
Ba,500 PPM,Ba LA1-HR-Tr,0.019,19.9%,133.9 PPM,0.1131,Ba LB1-HR-Tr,0.05,10.4%,187.8 PPM,0.03573,32.8 PPM
Sr,351 PPM,Sr KA1-HR-Tr,0.0351,0.605%,5.7 PPM,0.0022,Sr KB1-HR-Tr,0.0208,0.91%,59.4 PPM,12.47,1.71 PPM
SO3,194 PPM,S  KA1-HR-Tr,0.019,7.13%,38.9 PPM,0.00071,,,,,,10.3 PPM
V,150 PPM,V  KA1-HR-Tr,0.015,11.0%,39.8 PPM,0.2698,,,,,,15.7 PPM
Rb,144 PPM,Rb KA1-HR-Tr,0.0144,1.23%,6.6 PPM,0.1745,Rb KB1-HR-Tr,0.0068,3.17%,43.7 PPM,1.777,1.43 PPM
Zn,122 PPM,Zn KA1-HR-Tr,0.0122,2.21%,8.4 PPM,0.0,Zn KB1-HR-Tr,0.006,13.00%,53.5 PPM,0,2.00 PPM
Zr,120 PPM,Zr KA1-HR-Tr,0.012,0.908%,9.4 PPM,9.677,Zr KB1-HR-Tr,0.0059,4.08%,34.4 PPM,0.00122,1.35 PPM
Cr,97.3 PPM,Cr KA1-HR-Tr,0.0097,4.74%,25.8 PPM,0.2258,Cr KB1-HR-Tr,0.001,133%,141.0 PPM,0.07215,3.99 PPM
Cu,87.1 PPM,Cu KA1-HR-Tr,0.0087,3.36%,9.7 PPM,0,Cu KB1-HR-Tr,0.006,34.00%,57.0 PPM,0,2.16 PPM
Ni,77.5 PPM,Ni KA1-HR-Tr,0.0078,4.22%,11.5 PPM,0.00789,Ni KB1-HR-Tr,0.004,64.10%,71.7 PPM,0.00802,2.38 PPM
Cl,63.8 PPM,Cl KA1-HR-Tr,0.006,14.8%,30.7 PPM,0.0,,,,,,6.73 PPM
Y,17.8 PPM,Y  KA1-HR-Tr,0.0018,3.17%,9.0 PPM,3.887,Y  KB1-HR-Tr,0.001,10.30%,38.4 PPM,0.7443,1.22 PPM
As,17.6 PPM,As KA1-HR-Tr,0.002,10.0%,7.0 PPM,0.0,As KB1-HR-Tr,0,771%,39.4 PPM,0,1.37 PPM
Ga,17.5 PPM,Ga KA1-HR-Tr,0.002,11.1%,7.9 PPM,0.00713,Ga KB1-HR-Tr,0.001,39.10%,42.6 PPM,0,1.48 PPM
Nb,11.5 PPM,Nb KA1-HR-Tr,0.001,10.3%,6.4 PPM,0.253,Nb KB1-HR-Tr,0.351,2.02%,31.9 PPM,0,1.10 PPM
