,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,27.0%,Si KA1-HR-Tr,26.96,0.183%,80.8 PPM,0.0,Si KB1-HR-Tr/Ox,31.5,1.24%,0.34%,0,355 PPM
CaO,18.9%,Ca KA1-HR-Tr,18.92,0.145%,58.0 PPM,0.10570,Ca KB1-HR-Tr,12.48,0.41%,311.4 PPM,0.00322,179 PPM
Al2O3,8.07%,Al KA1-HR-Tr,8.066,0.328%,84.5 PPM,0.0,Al KB1-HR-Tr/Ox,7.7,9.11%,0.58%,0,203 PPM
Fe2O3,4.88%,Fe KA1-HR-Tr,4.876,0.134%,70.4 PPM,0.0,Fe KB1-HR-Tr,2.772,0.32%,117.3 PPM,0,12.4 PPM
K2O,2.17%,K  KA1-HR-Tr,2.172,0.393%,26.9 PPM,0.0,K  KB1-HR-Tr,1.43,1.19%,266.2 PPM,0,56.1 PPM
MgO,1.99%,Mg KA1-HR-Tr,1.991,0.586%,153.2 PPM,0.00136,,,,,,95.5 PPM
TiO2,0.559%,Ti KA1-HR-Tr,0.559,0.976%,49.6 PPM,0.00213,Ti KB1-HR-Tr,0.42,2.76%,519.8 PPM,0.08354,38.5 PPM
Na2O,0.152%,Na KA1-HR-Tr,0.152,4.01%,223.7 PPM,0.02197,,,,,,54.5 PPM
SO3,0.127%,S  KA1-HR-Tr,0.127,2.14%,36.0 PPM,0.00096,,,,,,18.2 PPM
MnO,991 PPM,Mn KA1-HR-Tr,0.0991,1.14%,21.1 PPM,0.00766,Mn KB1-HR-Tr,0.0429,2.82%,269.1 PPM,1.748,7.74 PPM
P2O5,832 PPM,P  KA1-HR-Tr,0.0832,3.41%,47.0 PPM,0.00052,,,,,,20.8 PPM
Ba,415 PPM,Ba LA1-HR-Tr,0.041,8.06%,134.4 PPM,0.07265,Ba LB1-HR-Tr,0.029,10.80%,193.5 PPM,0.02238,22.2 PPM
Sr,400 PPM,Sr KA1-HR-Tr,0.03997,0.588%,5.9 PPM,0.0,Sr KB1-HR-Tr,0.0182,1.12%,56.4 PPM,7.818,1.82 PPM
Cr,114 PPM,Cr KA1-HR-Tr,0.0114,5.37%,18.1 PPM,0.0,Cr KB1-HR-Tr,0,56.00%,156.3 PPM,0.09918,4.13 PPM
Zn,104 PPM,Zn KA1-HR-Tr,0.0104,2.74%,8.9 PPM,0.0,Zn KB1-HR-Tr,0.004,20.30%,56.3 PPM,0,2.02 PPM
Rb,103 PPM,Rb KA1-HR-Tr,0.0103,1.73%,7.0 PPM,0.18760,Rb KB1-HR-Tr,0.0067,4.42%,34.2 PPM,0,1.40 PPM
Ni,100 PPM,Ni KA1-HR-Tr,0.01,3.70%,11.5 PPM,0.0,Ni KB1-HR-Tr,0.003,83.40%,76.1 PPM,0.01141,2.56 PPM
Zr,79.0 PPM,Zr KA1-HR-Tr,0.0079,1.12%,10.0 PPM,10.32000,Zr KB1-HR-Tr,0.051,4.95%,35.8 PPM,0.00283,1.34 PPM
Cu,75.6 PPM,Cu KA1-HR-Tr,0.0076,4.13%,10.2 PPM,0.0,Cu KB1-HR-Tr,0.008,10.70%,60.2 PPM,0,2.20 PPM
Nb,28.1 PPM,Nb KA1-HR-Tr,0.003,14.4%,6.1 PPM,0.00966,Nb KB1-HR-Tr,0.378,2.12%,33.1 PPM,0,1.14 PPM
Ga,15.2 PPM,Ga KA1-HR-Tr,0.002,13.9%,8.3 PPM,0.00575,Ga KB1-HR-Tr,0,428%,45.2 PPM,0,1.55 PPM
As,12.8 PPM,As KA1-HR-Tr,0.001,15.1%,7.4 PPM,0.0,As KB1-HR-Tr,0,,41.7 PPM,0,1.43 PPM
,,,,,,,,,,,,
,,,,,,,,,,,,
