,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,32.2%,Si KA1-HR-Tr,32.21,0.169%,94.0 PPM,0.0,Si KB1-HR-Tr/Ox,36.9,1.16%,0.39%,0,433 PPM
CaO,19.1%,Ca KA1-HR-Tr,19.11,0.144%,63.1 PPM,0.09706,Ca KB1-HR-Tr,14.29,0.41%,342.0 PPM,0.00332,202 PPM
Al2O3,10.0%,Al KA1-HR-Tr,10.01,0.299%,100.0 PPM,0.0,Al KB1-HR-Tr/Ox,9.4,8.30%,0.69%,0,248 PPM
Fe2O3,5.19%,Fe KA1-HR-Tr,5.185,0.129%,73.9 PPM,0.0,Fe KB1-HR-Tr,3.364,0.31%,121.9 PPM,0,14.0 PPM
MgO,2.67%,Mg KA1-HR-Tr,2.672,0.515%,190.2 PPM,0.00109,,,,,,119 PPM
K2O,2.27%,K  KA1-HR-Tr,2.272,0.386%,30.6 PPM,0.0,K  KB1-HR-Tr,1.71,1.16%,294.4 PPM,0,65.1 PPM
TiO2,0.60%,Ti KA1-HR-Tr,0.595,0.939%,53.2 PPM,0.00223,Ti KB1-HR-Tr,0.461,2.71%,551.6 PPM,0.08745,43.1 PPM
Na2O,0.22%,Na KA1-HR-Tr,0.222,3.37%,267.1 PPM,0.01974,,,,,,68.9 PPM
SO3,0.14%,S  KA1-HR-Tr,0.14,2.05%,40.3 PPM,0.00039,,,,,,21.6 PPM
MnO,0.10%,Mn KA1-HR-Tr,0.104,1.09%,22.6 PPM,0.00765,Mn KB1-HR-Tr,0.069,2.45%,285.3 PPM,1.727,8.55 PPM
P2O5,0.10%,P  KA1-HR-Tr,0.1,3.13%,52.8 PPM,0.00043,,,,,,25.4 PPM
Ba,469 PPM,Ba LA1-HR-Tr,0.013,29.20%,142.8 PPM,0.07151,Ba LB1-HR-Tr,0.047,11.6%,204.9 PPM,0.02204,36.8 PPM
Sr,411 PPM,Sr KA1-HR-Tr,0.04108,0.580%,6.3 PPM,0.0,Sr KB1-HR-Tr,0.0237,1.09%,60.8 PPM,8.156,1.96 PPM
Cr,123 PPM,Cr KA1-HR-Tr,0.0123,4.99%,19.6 PPM,0.0,Cr KB1-HR-Tr,0.001,116.00%,166.4 PPM,0.09702,4.55 PPM
Rb,110 PPM,Rb KA1-HR-Tr,0.011,1.65%,7.5 PPM,0.1801,Rb KB1-HR-Tr,0.0098,3.84%,36.4 PPM,0,1.51 PPM
Zn,101 PPM,Zn KA1-HR-Tr,0.0101,2.75%,9.4 PPM,0.0,Zn KB1-HR-Tr,0.005,16.30%,59.1 PPM,0,2.13 PPM
Ni,89.2 PPM,Ni KA1-HR-Tr,0.0089,3.98%,12.1 PPM,0.0,Ni KB1-HR-Tr,0.004,30.20%,79.0 PPM,0.00405,2.67 PPM
Zr,88.1 PPM,Zr KA1-HR-Tr,0.0088,1.09%,10.6 PPM,9.945,Zr KB1-HR-Tr,0.0065,4.59%,37.4 PPM,0,1.44 PPM
Cu,83.7 PPM,Cu KA1-HR-Tr,0.0084,3.71%,10.8 PPM,0.0,Cu KB1-HR-Tr,0.009,11.30%,63.6 PPM,0,2.37 PPM
Ga,13.0 PPM,Ga KA1-HR-Tr,0.001,15.9%,8.8 PPM,0.00523,Ga KB1-HR-Tr,0.001,120.00%,47.3 PPM,0,1.62 PPM
As,11.4 PPM,As KA1-HR-Tr,0.001,16.6%,7.8 PPM,0.0,As KB1-HR-Tr,0.001,43.50%,44.1 PPM,0,1.50 PPM
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
