,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,54.9%,Si KA1-HR-Tr,54.86,0.121%,184.7 PPM,0.00597,Si KB1-HR-Tr/Ox,42,0.79%,0.71%,0.4,196 PPM
Al2O3,2.13%,Al KA1-HR-Tr,2.13,0.602%,59.1 PPM,0.0,Al KB1-HR-Tr/Ox,3.1,6.07%,0.45%,0.0,90.0 PPM
K2O,1.91%,K  KA1-HR-Tr,1.911,0.440%,21.9 PPM,0.0,K  KB1-HR-Tr,1.2,1.32%,177.2 PPM,0.0,54.4 PPM
Ba,758 PPM,Ba LA1-HR-Tr,0.0758,4.79%,64.5 PPM,0.01435,Ba LB1-HR-Tr,0.032,6.30%,114.7 PPM,0.01948,15.5 PPM
TiO2,668 PPM,Ti KA1-HR-Tr,0.0668,2.67%,30.5 PPM,0.00634,Ti KB1-HR-Tr,0.022,8.71%,374.7 PPM,0.3,10.6 PPM
W,649 PPM,W  LA1-HR-Tr,0.0649,2.51%,14.8 PPM,0.00421,W  LB1-HR-Tr,0.0675,3.52%,21.0 PPM,0.0,3.26 PPM
Na2O,531 PPM,Na KA1-HR-Tr,0.053,6.88%,129.4 PPM,0.00420,,,,,,30.7 PPM
Fe2O3,399 PPM,Fe KA1-HR-Tr,0.0399,1.48%,12.2 PPM,0.01062,Fe KB1-HR-Tr,0.014,6.95%,72.2 PPM,0.0,3.50 PPM
P2O5,342 PPM,P  KA1-HR-Tr,0.034,6.37%,57.7 PPM,0.00277,,,,,,16.1 PPM
Pb,246 PPM,Pb LB1-HR-Tr,0.025,6.58%,10.5 PPM,0.0,Pb LA1-HR-Tr,0.0259,5.34%,10.2 PPM,0,2.06 PPM
Sr,149 PPM,Sr KA1-HR-Tr,0.0149,2.45%,3.2 PPM,0.0,Sr KB1-HR-Tr,-0.0167,1.96%,32.9 PPM,14.57,0.659 PPM
Rb,136 PPM,Rb KA1-HR-Tr,0.0136,2.52%,3.7 PPM,0.19170,Rb KB1-HR-Tr,0.022,8.08%,20.7 PPM,0.3,0.695 PPM
CaO,78.6 PPM,Ca KA1-HR-Tr,0.008,8.45%,40.4 PPM,0.09465,Ca KB1-HR-Tr,0.008,116.00%,230.8 PPM,0.0,6.02 PPM
Zr,67.1 PPM,Zr KA1-HR-Tr,0.0067,1.96%,5.0 PPM,8.91500,Zr KB1-HR-Tr,0.072,9.91%,19.8 PPM,0.0,0.648 PPM
SO3,57.5 PPM,S  KA1-HR-Tr,0.006,19.3%,40.4 PPM,0.00334,,,,,,7.73 PPM
Cu,39.9 PPM,Cu KA1-HR-Tr,0.004,4.54%,5.5 PPM,0.0,Cu KB1-HR-Tr,0.003,11.40%,32.1 PPM,0.00000,1.14 PPM
Co,16.8 PPM,Co KA1-HR-Tr,0.002,11.7%,7.2 PPM,0.03641,Co KB1-HR-Tr,0.001,33.50%,42.1 PPM,0.0,1.26 PPM
Ni,15.6 PPM,Ni KA1-HR-Tr,0.002,12.7%,6.5 PPM,0.00441,Ni KB1-HR-Tr,0,231.00%,45.4 PPM,0.1,1.21 PPM
Zn,13.4 PPM,Zn KA1-HR-Tr,0.001,10.6%,4.7 PPM,0.0,Zn KB1-HR-Tr,-0.003,151.00%,44.7 PPM,1.6,0.917 PPM
