,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,26.9%,Si KA1-HR-Tr,26.93,0.183%,80.6 PPM,0.0,Si KB1-HR-Tr/Ox,30.8,1.26%,0.34%,0,355 PPM
CaO,18.9%,Ca KA1-HR-Tr,18.9,0.145%,57.3 PPM,0.10590,Ca KB1-HR-Tr,12.45,0.41%,308.4 PPM,0.00353,179 PPM
Al2O3,8.11%,Al KA1-HR-Tr,8.111,0.327%,89.2 PPM,0.0,Al KB1-HR-Tr/Ox,8.2,8.74%,0.58%,0,204 PPM
Fe2O3,4.89%,Fe KA1-HR-Tr,4.895,0.133%,69.0 PPM,0.0,Fe KB1-HR-Tr,2.785,0.32%,114.6 PPM,0,12.5 PPM
K2O,2.18%,K  KA1-HR-Tr,2.176,0.392%,27.7 PPM,0.0,K  KB1-HR-Tr,1.44,1.18%,263.0 PPM,0,56.2 PPM
MgO,1.95%,Mg KA1-HR-Tr,1.951,0.592%,152.9 PPM,0.00171,,,,,,94.5 PPM
TiO2,0.554%,Ti KA1-HR-Tr,0.554,0.980%,50.0 PPM,0.00251,Ti KB1-HR-Tr,0.424,2.69%,519.7 PPM,0.09845,38.4 PPM
Na2O,0.162%,Na KA1-HR-Tr,0.162,3.77%,215.1 PPM,0.02177,,,,,,54.6 PPM
SO3,0.119%,S  KA1-HR-Tr,0.119,2.21%,34.7 PPM,0.00086,,,,,,17.6 PPM
MnO,948 PPM,Mn KA1-HR-Tr,0.0948,1.17%,21.0 PPM,0.00869,Mn KB1-HR-Tr,0.027,7.91%,267.0 PPM,1.755,7.58 PPM
P2O5,755 PPM,P  KA1-HR-Tr,0.0755,3.62%,48.4 PPM,0.00076,,,,,,20.0 PPM
Ba,489 PPM,Ba LA1-HR-Tr,0.049,7.21%,133.6 PPM,0.07207,Ba LB1-HR-Tr,0.025,12.00%,190.4 PPM,0.0222,22.7 PPM
Sr,391 PPM,Sr KA1-HR-Tr,0.0391,0.599%,6.0 PPM,0.00206,Sr KB1-HR-Tr,0.018,1.12%,56.9 PPM,7.967,1.82 PPM
Cr,129 PPM,Cr KA1-HR-Tr,0.0129,4.88%,18.3 PPM,0.00000,Cr KB1-HR-Tr,-0.002,271%,153.5 PPM,0.09485,4.25 PPM
Ni,105 PPM,Ni KA1-HR-Tr,0.0105,3.54%,12.0 PPM,0.00739,Ni KB1-HR-Tr,0.004,24.10%,76.0 PPM,0.01041,2.58 PPM
Zn,102 PPM,Zn KA1-HR-Tr,0.0102,2.77%,8.9 PPM,0.0,Zn KB1-HR-Tr,0.004,17.40%,56.0 PPM,0,2.01 PPM
Rb,98.9 PPM,Rb KA1-HR-Tr,0.0099,1.81%,7.1 PPM,0.18360,Rb KB1-HR-Tr,0.0046,4.18%,46.0 PPM,1.66,1.40 PPM
Cu,83.1 PPM,Cu KA1-HR-Tr,0.0083,3.81%,10.3 PPM,0.0,Cu KB1-HR-Tr,0.007,12.40%,60.1 PPM,0,2.23 PPM
Zr,80.2 PPM,Zr KA1-HR-Tr,0.008,1.12%,10.1 PPM,10.16000,Zr KB1-HR-Tr,0.0527,4.81%,35.9 PPM,0.0023,1.34 PPM
Nb,22.9 PPM,Nb KA1-HR-Tr,0.002,14.9%,6.7 PPM,0.23260,Nb KB1-HR-Tr,0.388,2.07%,33.2 PPM,0,1.15 PPM
As,17.6 PPM,As KA1-HR-Tr,0.002,11.0%,7.4 PPM,0.0,As KB1-HR-Tr,0.001,68.70%,41.8 PPM,0,1.44 PPM
Y,17.6 PPM,Y  KA1-HR-Tr,0.0018,4.18%,8.9 PPM,2.51100,Y  KB1-HR-Tr,0,14.90%,42.7 PPM,1.381,1.27 PPM
Ga,12.0 PPM,Ga KA1-HR-Tr,0.001,17.4%,8.3 PPM,0.00565,Ga KB1-HR-Tr,0.002,29.20%,44.7 PPM,0,1.53 PPM
,,,,,,,,,,,,
