,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,43.3%,Si KA1-HR-Tr,43.29,0.144%,99.0 PPM,0.00096,Si KB1-HR-Tr/Ox,51.8,0.96%,0.59%,0.06743,471 PPM
Al2O3,9.21%,Al KA1-HR-Tr,9.213,0.303%,97.0 PPM,0.0,Al KB1-HR-Tr/Ox,8.36,3.50%,0.65%,0,222 PPM
CaO,7.97%,Ca KA1-HR-Tr,7.965,0.224%,52.3 PPM,0.08445,Ca KB1-HR-Tr,5.39,0.65%,292.9 PPM,0.00325,125 PPM
Fe2O3,4.33%,Fe KA1-HR-Tr,4.331,0.128%,61.0 PPM,0.0,Fe KB1-HR-Tr,2.335,0.31%,100.2 PPM,0,10.7 PPM
K2O,1.97%,K  KA1-HR-Tr,1.971,0.425%,27.9 PPM,0.0,K  KB1-HR-Tr,1.37,1.30%,250.7 PPM,0,60.2 PPM
MgO,1.08%,Mg KA1-HR-Tr,1.08,0.819%,158.3 PPM,0.00111,,,,,,74.3 PPM
TiO2,0.622%,Ti KA1-HR-Tr,0.622,0.841%,42.3 PPM,0.00241,Ti KB1-HR-Tr,0.441,2.34%,436.4 PPM,0.09517,36.8 PPM
Na2O,0.153%,Na KA1-HR-Tr,0.153,4.01%,226.6 PPM,0.01846,,,,,,55.6 PPM
P2O5,814 PPM,P  KA1-HR-Tr,0.0814,3.63%,60.3 PPM,0.00409,,,,,,23.5 PPM
Zr,726 PPM,Zr KA1-HR-Tr,0.07264,0.598%,7.5 PPM,5.102,Zr KB1-HR-Tr,0.113,2.16%,31.4 PPM,0.00235,1.39 PPM
Ba,390 PPM,Ba LA1-HR-Tr,0.006,35.00%,117.9 PPM,0.09710,Ba LB1-HR-Tr,0.039,12.10%,166.1 PPM,0.03189,28.7 PPM
MnO,366 PPM,Mn KA1-HR-Tr,0.0366,1.94%,18.4 PPM,0.00702,Mn KB1-HR-Tr,-0.003,11.10%,231.3 PPM,1.891,4.94 PPM
SO3,213 PPM,S  KA1-HR-Tr,0.021,6.73%,42.4 PPM,0.00336,,,,,,10.7 PPM
Sr,157 PPM,Sr KA1-HR-Tr,0.0157,1.01%,5.2 PPM,0.00226,Sr KB1-HR-Tr,-0.03554,1%,91.5 PPM,85.66,1.26 PPM
W,137 PPM,W  LA1-HR-Tr,0.014,6.04%,24.3 PPM,0.01238,W  LB1-HR-Tr,0.003,10.20%,35.4 PPM,0.04109,4.67 PPM
Cl,87.2 PPM,Cl KA1-HR-Tr,0.009,11.4%,30.9 PPM,0.0,,,,,,7.09 PPM
Zn,87.1 PPM,Zn KA1-HR-Tr,0.0087,2.69%,7.5 PPM,0.0,Zn KB1-HR-Tr,0.002,44.30%,57.2 PPM,0.1863,1.71 PPM
Cr,85.7 PPM,Cr KA1-HR-Tr,0.009,6.02%,15.9 PPM,0.0,Cr KB1-HR-Tr,-0.006,,125.5 PPM,0.04451,3.50 PPM
Rb,78.7 PPM,Rb KA1-HR-Tr,0.0079,1.88%,5.8 PPM,0.08996,Rb KB1-HR-Tr,0.0037,4.13%,39.6 PPM,1.818,1.18 PPM
Ru,78.1 PPM,Ru KA1-HR-Tr,0.008,18.9%,21.0 PPM,0.0,Ru KB1-HR-Tr,0.088,12.00%,141.8 PPM,0,4.27 PPM
Cu,62.8 PPM,Cu KA1-HR-Tr,0.0063,4.14%,8.8 PPM,0.0,Cu KB1-HR-Tr,0.006,12.50%,51.0 PPM,0,1.88 PPM
Ni,59.2 PPM,Ni KA1-HR-Tr,0.0059,5.01%,10.5 PPM,0.00812,Ni KB1-HR-Tr,0.001,132.00%,66.8 PPM,0.02751,2.10 PPM
Nb,19.1 PPM,Nb KA1-HR-Tr,0.002,14.9%,6.0 PPM,0.35340,Nb KB1-HR-Tr,0.401,1.86%,29.3 PPM,0,1.00 PPM
Y,15.7 PPM,Y  KA1-HR-Tr,0.0016,4.13%,7.6 PPM,2.562,Y  KB1-HR-Tr,-0.001,14.90%,37.2 PPM,1.506,1.09 PPM
Ga,11.3 PPM,Ga KA1-HR-Tr,0.001,15.5%,7.1 PPM,0.00588,Ga KB1-HR-Tr,0.001,106.00%,38.5 PPM,0,1.31 PPM
As,10.9 PPM,As KA1-HR-Tr,0.001,14.8%,6.4 PPM,0.0,As KB1-HR-Tr,0,,39.5 PPM,0.08907,1.23 PPM
