,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,32.2%,Si KA1-HR-Tr,32.17,0.174%,100.2 PPM,0.00038,Si KB1-HR-Tr/Ox,37.9,1.17%,0.54%,0.0,431 PPM
CaO,12.8%,Ca KA1-HR-Tr,12.81,0.180%,63.7 PPM,0.14140,Ca KB1-HR-Tr,9.093,0.51%,334.8 PPM,0.0,162 PPM
Al2O3,11.0%,Al KA1-HR-Tr,11.04,0.291%,102.0 PPM,0.0,Al KB1-HR-Tr/Ox,10,3.25%,0.67%,0.0,259 PPM
Fe2O3,5.32%,Fe KA1-HR-Tr,5.318,0.122%,69.0 PPM,0.0,Fe KB1-HR-Tr,3.07,0.29%,113.5 PPM,0,13.1 PPM
K2O,3.3%,K  KA1-HR-Tr,3.29,0.328%,30.7 PPM,0.0,K  KB1-HR-Tr,2.34,0.97%,276.9 PPM,0.0,76.6 PPM
MgO,1.75%,Mg KA1-HR-Tr,1.75,0.664%,180.7 PPM,0.00151,,,,,,98.8 PPM
TiO2,0.70%,Ti KA1-HR-Tr,0.698,0.838%,48.5 PPM,0.00269,Ti KB1-HR-Tr,0.481,2.34%,605.2 PPM,0.3,42.4 PPM
Na2O,0.43%,Na KA1-HR-Tr,0.433,2.23%,268.5 PPM,0.02048,,,,,,87.7 PPM
SO3,930 PPM,S  KA1-HR-Tr,0.093,2.64%,39.7 PPM,0.00087,,,,,,17.8 PPM
P2O5,859 PPM,P  KA1-HR-Tr,0.0859,3.50%,54.0 PPM,0.00105,,,,,,23.5 PPM
MnO,675 PPM,Mn KA1-HR-Tr,0.0675,1.38%,21.1 PPM,0.00813,Mn KB1-HR-Tr,0.01,8.84%,269.2 PPM,1.995,6.69 PPM
Ba,500 PPM,Ba LA1-HR-Tr,0.05,6.49%,133.7 PPM,0.09485,Ba LB1-HR-Tr,0.036,8.65%,191.6 PPM,0.0,22.4 PPM
Sr,320 PPM,Sr KA1-HR-Tr,0.032,0.665%,6.2 PPM,0.00262,Sr KB1-HR-Tr,0.0182,1.04%,60.6 PPM,10.7,1.73 PPM
Rb,157 PPM,Rb KA1-HR-Tr,0.0157,1.20%,7.1 PPM,0.1550,Rb KB1-HR-Tr,0.0073,3.00%,47.8 PPM,2.1,1.54 PPM
V,143 PPM,V  KA1-HR-Tr,0.014,11.9%,40.1 PPM,0.2274,,,,,,15.9 PPM
Cr,115 PPM,Cr KA1-HR-Tr,0.0115,4.45%,26.8 PPM,0.2040,Cr KB1-HR-Tr,0.002,103.00%,148.1 PPM,0.07067,4.28 PPM
Zn,110 PPM,Zn KA1-HR-Tr,0.011,2.48%,8.9 PPM,0.0,Zn KB1-HR-Tr,0.007,10.70%,62.7 PPM,0.1,2.05 PPM
Zr,105 PPM,Zr KA1-HR-Tr,0.0105,1.04%,9.7 PPM,8.599,Zr KB1-HR-Tr,0.0578,4.30%,37.2 PPM,0.0,1.38 PPM
Ni,98.6 PPM,Ni KA1-HR-Tr,0.0099,3.56%,12.1 PPM,0.00939,Ni KB1-HR-Tr,0.005,21.00%,77.1 PPM,0.0,2.56 PPM
Cu,77.3 PPM,Cu KA1-HR-Tr,0.0077,3.86%,10.3 PPM,0.0,Cu KB1-HR-Tr,0.008,10.90%,60.3 PPM,0.0,2.22 PPM
W,60.5 PPM,W  LA1-HR-Tr,0.006,14.3%,28.6 PPM,0.01327,W  LB1-HR-Tr,0.002,18.20%,40.4 PPM,0.0,5.20 PPM
Nb,23.6 PPM,Nb KA1-HR-Tr,0.002,13.8%,7.0 PPM,0.2956,Nb KB1-HR-Tr,0.417,1.90%,34.3 PPM,0.0,1.18 PPM
Y,21.7 PPM,Y  KA1-HR-Tr,0.0022,3.00%,9.7 PPM,4.112,Y  KB1-HR-Tr,0,13.80%,43.7 PPM,1.5,1.33 PPM
Ga,17.6 PPM,Ga KA1-HR-Tr,0.002,11.5%,8.3 PPM,0.00630,Ga KB1-HR-Tr,0.001,45.10%,45.3 PPM,0.0,1.56 PPM
As,16.5 PPM,As KA1-HR-Tr,0.002,11.3%,7.5 PPM,0.0,As KB1-HR-Tr,0,411.00%,45.0 PPM,0.0,1.45 PPM
