,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,29.8%,Si KA1-HR-Tr,29.81,0.174%,85.2 PPM,0.0,Si KB1-HR-Tr/Ox,35.2,1.17%,0.36%,0,400 PPM
CaO,23.8%,Ca KA1-HR-Tr,23.8,0.128%,62.1 PPM,0.07824,Ca KB1-HR-Tr,17.57,0.36%,342.7 PPM,0.00246,218 PPM
Al2O3,7.93%,Al KA1-HR-Tr,7.926,0.334%,94.5 PPM,0.0,Al KB1-HR-Tr/Ox,7.7,9.23%,0.63%,0,215 PPM
Fe2O3,4.14%,Fe KA1-HR-Tr,4.144,0.149%,77.5 PPM,0.0,Fe KB1-HR-Tr,2.578,0.36%,129.8 PPM,0,12.7 PPM
MgO,2.26%,Mg KA1-HR-Tr,2.262,0.558%,167.5 PPM,0.0,,,,,,108 PPM
K2O,1.74%,K  KA1-HR-Tr,1.743,0.438%,30.1 PPM,0.0,K  KB1-HR-Tr,1.29,1.32%,303.3 PPM,0,54.7 PPM
TiO2,0.484%,Ti KA1-HR-Tr,0.484,1.08%,50.0 PPM,0.0,Ti KB1-HR-Tr,0.371,3.32%,393.4 PPM,0,40.2 PPM
SO3,0.145%,S  KA1-HR-Tr,0.145,1.98%,38.5 PPM,0.00035,,,,,,20.9 PPM
MnO,0.113%,Mn KA1-HR-Tr,0.113,1.07%,23.0 PPM,0.00646,Mn KB1-HR-Tr,0.0574,2.99%,281.0 PPM,1.313,9.01 PPM
Na2O,798 PPM,Na KA1-HR-Tr,0.08,6.69%,240.0 PPM,0.01724,,,,,,49.7 PPM
P2O5,765 PPM,P  KA1-HR-Tr,0.0765,3.60%,50.1 PPM,0.00039,,,,,,21.6 PPM
Sr,432 PPM,Sr KA1-HR-Tr,0.04323,0.570%,6.3 PPM,0.0,Sr KB1-HR-Tr,0.0226,1.17%,58.9 PPM,6.668,2.00 PPM
Cr,110 PPM,Cr KA1-HR-Tr,0.011,5.60%,20.0 PPM,0.0,Cr KB1-HR-Tr,0.007,55.00%,173.7 PPM,0.09952,4.55 PPM
Ni,103 PPM,Ni KA1-HR-Tr,0.0103,3.65%,12.4 PPM,0.0,Ni KB1-HR-Tr,0.004,33.80%,79.6 PPM,0.003,2.79 PPM
Zn,87.9 PPM,Zn KA1-HR-Tr,0.0088,3.18%,9.5 PPM,0.0,Zn KB1-HR-Tr,0.003,30.80%,60.4 PPM,0,2.11 PPM
Rb,80.4 PPM,Rb KA1-HR-Tr,0.008,2.19%,7.6 PPM,0.1864,Rb KB1-HR-Tr,0.0075,4.86%,36.6 PPM,0,1.46 PPM
Zr,75.3 PPM,Zr KA1-HR-Tr,0.0075,1.17%,10.7 PPM,9.985,Zr KB1-HR-Tr,0.0059,5.01%,38.1 PPM,0,1.42 PPM
Cu,63.1 PPM,Cu KA1-HR-Tr,0.0063,4.88%,11.0 PPM,0.0,Cu KB1-HR-Tr,0.007,13.60%,64.7 PPM,0,2.31 PPM
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
