,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,32.8%,Si KA1-HR-Tr,32.79,0.167%,90.1 PPM,0.0,Si KB1-HR-Tr/Ox,37.9,1.14%,0.38%,0,443 PPM
CaO,21.5%,Ca KA1-HR-Tr,21.55,0.135%,64.9 PPM,0.09047,Ca KB1-HR-Tr,16.55,0.38%,347.0 PPM,0.00291,219 PPM
Al2O3,9.24%,Al KA1-HR-Tr,9.24,0.312%,104.7 PPM,0.0,Al KB1-HR-Tr/Ox,9.5,8.21%,0.68%,0,243 PPM
Fe2O3,4.71%,Fe KA1-HR-Tr,4.713,0.137%,78.2 PPM,0.0,Fe KB1-HR-Tr,3.174,0.33%,129.3 PPM,0,13.8 PPM
MgO,2.95%,Mg KA1-HR-Tr,2.948,0.490%,189.6 PPM,0.00021,,,,,,127 PPM
K2O,2.15%,K  KA1-HR-Tr,2.154,0.396%,31.8 PPM,0.0,K  KB1-HR-Tr,1.67,1.19%,308.8 PPM,0,64.6 PPM
TiO2,0.544%,Ti KA1-HR-Tr,0.544,1.00%,56.8 PPM,0.00133,Ti KB1-HR-Tr,0.425,2.99%,538.4 PPM,0.05229,43.2 PPM
Na2O,0.228%,Na KA1-HR-Tr,0.228,3.30%,265.3 PPM,0.01829,,,,,,70.0 PPM
SO3,0.139%,S  KA1-HR-Tr,0.139,2.05%,41.2 PPM,0.00053,,,,,,21.9 PPM
MnO,0.107%,Mn KA1-HR-Tr,0.107,1.09%,23.6 PPM,0.00699,Mn KB1-HR-Tr,0.0516,2.98%,290.5 PPM,1.493,8.99 PPM
P2O5,942 PPM,P  KA1-HR-Tr,0.0942,3.25%,54.8 PPM,0.00045,,,,,,25.1 PPM
Sr,415 PPM,Sr KA1-HR-Tr,0.04151,0.582%,6.4 PPM,0.0,Sr KB1-HR-Tr,0.0253,1.11%,62.3 PPM,7.887,2.01 PPM
Ba,297 PPM,Ba LA1-HR-Tr,0.03,10.0%,150.8 PPM,0.06181,Ba LB1-HR-Tr,0.024,34.80%,210.3 PPM,0.01905,24.3 PPM
Cr,119 PPM,Cr KA1-HR-Tr,0.0119,5.17%,20.3 PPM,0.0,Cr KB1-HR-Tr,0.001,114.00%,175.0 PPM,0.09441,4.69 PPM
Rb,101 PPM,Rb KA1-HR-Tr,0.0101,1.79%,7.6 PPM,0.1766,Rb KB1-HR-Tr,0.0094,4.27%,37.3 PPM,0,1.52 PPM
Zn,96.0 PPM,Zn KA1-HR-Tr,0.0096,2.89%,9.6 PPM,0.0,Zn KB1-HR-Tr,0.005,18.80%,61.5 PPM,0,2.17 PPM
Ni,92.7 PPM,Ni KA1-HR-Tr,0.0093,3.91%,12.6 PPM,0.0,Ni KB1-HR-Tr,0.004,69.60%,81.5 PPM,0.00552,2.78 PPM
Zr,88.7 PPM,Zr KA1-HR-Tr,0.0089,1.11%,10.9 PPM,9.646,Zr KB1-HR-Tr,0.0067,4.91%,39.2 PPM,0.00074,1.48 PPM
Cu,75.9 PPM,Cu KA1-HR-Tr,0.0076,4.07%,11.1 PPM,0.0,Cu KB1-HR-Tr,0.01,10.60%,65.3 PPM,0,2.40 PPM
Ga,12.9 PPM,Ga KA1-HR-Tr,0.001,16.2%,9.0 PPM,0.00481,Ga KB1-HR-Tr,0.002,45.30%,48.6 PPM,0,1.67 PPM
Nb,8.13 PPM,Nb KA1-HR-Tr,0.001,18.2%,6.8 PPM,0.00985,Nb KB1-HR-Tr,0.0421,2.10%,36.4 PPM,0,1.25 PPM
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
