,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,38.6%,Si KA1-HR-Tr,38.6,0.155%,97.7 PPM,0.0,Si KB1-HR-Tr/Ox,45.8,1.04%,0.40%,0.0,467 PPM
Al2O3,11.5%,Al KA1-HR-Tr,11.52,0.274%,100.9 PPM,0.0,Al KB1-HR-Tr/Ox,11.3,2.96%,0.70%,0.0,257 PPM
CaO,10.1%,Ca KA1-HR-Tr,10.12,0.199%,59.3 PPM,0.11060,Ca KB1-HR-Tr,7.36,0.57%,318.3 PPM,0.0,146 PPM
Fe2O3,5.77%,Fe KA1-HR-Tr,3.744,0.112%,64.5 PPM,0.0,Fe KB1-HR-Tr,5.774,0.264%,106.3 PPM,0.0,111 PPM
K2O,2.64%,K  KA1-HR-Tr,2.637,0.364%,30.1 PPM,0.0,K  KB1-HR-Tr,1.93,1.09%,271.8 PPM,0.000,70.6 PPM
MgO,1.33%,Mg KA1-HR-Tr,1.33,0.75%,177.8 PPM,0.00193,,,,,,85.2 PPM
TiO2,0.817%,Ti KA1-HR-Tr,0.817,0.74%,45.3 PPM,0.00175,Ti KB1-HR-Tr,0.559,2.10%,559.2 PPM,0.2284,44.5 PPM
Na2O,0.168%,Na KA1-HR-Tr,0.168,3.84%,244.3 PPM,0.02478,,,,,,59.5 PPM
P2O5,672 PPM,P  KA1-HR-Tr,0.0672,4.04%,55.0 PPM,0.00089,,,,,,21.9 PPM
MnO,590 PPM,Mn KA1-HR-Tr,0.059,1.44%,19.8 PPM,0.00843,Mn KB1-HR-Tr,0.008,8.05%,262.1 PPM,2.291,6.15 PPM
Ba,305 PPM,Ba LA1-HR-Tr,0.03,8.150%,132.7 PPM,0.11820,Ba LB1-HR-Tr,0.023,11.60%,185.2 PPM,0.037,20.1 PPM
SO3,231 PPM,S  KA1-HR-Tr,0.023,6.3%,40.2 PPM,0.00085,,,,,,11.0 PPM
Sr,220 PPM,Sr KA1-HR-Tr,0.022,0.84%,5.6 PPM,0.00188,Sr KB1-HR-Tr,0.0184,0.89%,62.0 PPM,15.4,1.49 PPM
Zr,147 PPM,Zr KA1-HR-Tr,0.0147,0.89%,8.5 PPM,6.12100,Zr KB1-HR-Tr,0.0069,3.55%,34.1 PPM,0.0,1.35 PPM
V,141 PPM,V  KA1-HR-Tr,0.014,11.20%,39.5 PPM,0.27760,,,,,,15.4 PPM
Rb,141 PPM,Rb KA1-HR-Tr,0.0141,1.24%,6.5 PPM,0.11050,Rb KB1-HR-Tr,0.0067,3.37%,42.8 PPM,1.51900,1.42 PPM
Zn,124 PPM,Zn KA1-HR-Tr,0.0124,2.16%,8.4 PPM,0.0,Zn KB1-HR-Tr,0.004,17.40%,53.1 PPM,0.0,2.00 PPM
Cr,112 PPM,Cr KA1-HR-Tr,0.0112,4.3%,25.4 PPM,0.21500,Cr KB1-HR-Tr,0.004,84.60%,137.4 PPM,0.1,4.06 PPM
Cu,83.7 PPM,Cu KA1-HR-Tr,0.0084,3.44%,9.7 PPM,0.0,Cu KB1-HR-Tr,0.008,10.70%,56.7 PPM,0,2.14 PPM
Ni,67.5 PPM,Ni KA1-HR-Tr,0.0067,4.72%,11.4 PPM,0.00673,Ni KB1-HR-Tr,0.001,203.00%,71.5 PPM,0.00854,2.33 PPM
As,20.2 PPM,As KA1-HR-Tr,0.002,8.70%,7.0 PPM,0.0,As KB1-HR-Tr,0.001,86.10%,39.2 PPM,0,1.37 PPM
Ga,18.5 PPM,Ga KA1-HR-Tr,0.002,10.30%,7.9 PPM,0.00732,Ga KB1-HR-Tr,0.002,25.90%,42.2 PPM,0,1.47 PPM
Y,15.0 PPM,Y  KA1-HR-Tr,0.0015,3.37%,9.0 PPM,3.84900,Y  KB1-HR-Tr,0,39.60%,38.8 PPM,0.8974,1.22 PPM
Nb,13.7 PPM,Nb KA1-HR-Tr,0.001,8.81%,6.3 PPM,0.22210,Nb KB1-HR-Tr,0.34,2.02%,31.6 PPM,0,1.09 PPM
