,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,28.5%,Si KA1-HR-Tr,28.47,0.190%,91.8 PPM,0.0,Si KB1-HR-Tr/Ox,32.8,1.30%,0.43%,0.00126,415 PPM
CaO,19.0%,Ca KA1-HR-Tr,19.04,0.147%,62.9 PPM,0.09096,Ca KB1-HR-Tr,13.25,0.42%,346.2 PPM,0.00291,196 PPM
Al2O3,8.31%,Al KA1-HR-Tr,8.311,0.351%,100.7 PPM,0.0,Al KB1-HR-Tr/Ox,8.23,3.85%,0.71%,0,237 PPM
Fe2O3,4.70%,Fe KA1-HR-Tr,4.705,0.135%,77.0 PPM,0.00148,Fe KB1-HR-Tr,2.739,0.33%,128.1 PPM,0,13.0 PPM
MgO,2.13%,Mg KA1-HR-Tr,2.13,0.625%,181.5 PPM,0.0,,,,,,114 PPM
K2O,2.12%,K  KA1-HR-Tr,2.118,0.411%,30.1 PPM,0.0,K  KB1-HR-Tr,1.44,1.26%,299.5 PPM,0,61.0 PPM
TiO2,0.567%,Ti KA1-HR-Tr,0.567,0.982%,52.8 PPM,0.00155,Ti KB1-HR-Tr,0.422,2.88%,538.2 PPM,0.06078,41.0 PPM
Na2O,0.218%,Na KA1-HR-Tr,0.218,3.57%,263.1 PPM,0.01596,,,,,,71.2 PPM
SO3,0.128%,S  KA1-HR-Tr,0.128,2.22%,41.7 PPM,0.00201,,,,,,20.3 PPM
MnO,987 PPM,Mn KA1-HR-Tr,0.0987,1.14%,22.7 PPM,0.00619,Mn KB1-HR-Tr,0.0529,2.80%,282.6 PPM,1.594,8.24 PPM
P2O5,851 PPM,P  KA1-HR-Tr,0.0851,3.59%,56.5 PPM,0.00051,,,,,,23.6 PPM
Sr,417 PPM,Sr KA1-HR-Tr,0.0417,0.581%,6.7 PPM,0.00000,Sr KB1-HR-Tr,0.0204,1.13%,63.0 PPM,8.174,2.01 PPM
Ba,322 PPM,Ba LA1-HR-Tr,0.032,24.2%,143.6 PPM,0.06879,Ba LB1-HR-Tr,0.022,14.70%,213.1 PPM,0.02123,57.5 PPM
Cr,98.0 PPM,Cr KA1-HR-Tr,0.01,6.30%,20.2 PPM,0.0,Cr KB1-HR-Tr,-0.004,4391.00%,167.6 PPM,0.09307,4.43 PPM
Zn,96.9 PPM,Zn KA1-HR-Tr,0.0097,2.94%,9.8 PPM,0.0,Zn KB1-HR-Tr,0.005,15.90%,62.1 PPM,0,2.17 PPM
Zr,87.3 PPM,Zr KA1-HR-Tr,0.0087,1.13%,11.1 PPM,10.200,Zr KB1-HR-Tr,0.058,11.60%,41.3 PPM,0.00364,1.50 PPM
Ni,86.7 PPM,Ni KA1-HR-Tr,0.0087,4.27%,12.7 PPM,0.0,Ni KB1-HR-Tr,0.005,22.20%,83.8 PPM,0.0132,2.74 PPM
Pb,78.4 PPM,Pb LB1-HR-Tr,0.008,18.7%,21.9 PPM,0.0,Pb LA1-HR-Tr,0.001,15.50%,21.0 PPM,0,4.17 PPM
Cu,71.5 PPM,Cu KA1-HR-Tr,0.0071,4.41%,11.3 PPM,0.0,Cu KB1-HR-Tr,0.007,14.10%,66.5 PPM,0,2.38 PPM
Nb,38.0 PPM,Nb KA1-HR-Tr,0.004,11.6%,7.0 PPM,0.01020,Nb KB1-HR-Tr,0.481,1.82%,38.2 PPM,0,1.31 PPM
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
