,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,32.8%,Si KA1-HR-Tr,32.76,0.17%,96.0 PPM,0.0,Si KB1-HR-Tr/Ox,38.7,1.13%,0.40%,0,443 PPM
CaO,21.5%,Ca KA1-HR-Tr,21.47,0.136%,65.6 PPM,0.09101,Ca KB1-HR-Tr,16.56,0.38%,351.2 PPM,0.00305,219 PPM
Al2O3,9.23%,Al KA1-HR-Tr,9.232,0.312%,102.5 PPM,0.0,Al KB1-HR-Tr/Ox,9.62,3.28%,0.69%,0,243 PPM
Fe2O3,4.77%,Fe KA1-HR-Tr,4.772,0.136%,77.8 PPM,0.0,Fe KB1-HR-Tr,3.205,0.32%,129.4 PPM,0,13.9 PPM
MgO,2.95%,Mg KA1-HR-Tr,2.946,0.490%,190.4 PPM,0.00116,,,,,,127 PPM
K2O,2.17%,K  KA1-HR-Tr,2.168,0.395%,31.0 PPM,0.0,K  KB1-HR-Tr,1.66,1.19%,313.2 PPM,0,64.8 PPM
TiO2,0.549%,Ti KA1-HR-Tr,0.549,0.994%,56.3 PPM,0.00240,Ti KB1-HR-Tr,0.427,2.93%,581.9 PPM,0.09412,43.3 PPM
Na2O,0.227%,Na KA1-HR-Tr,0.227,3.340%,268.0 PPM,0.01750,,,,,,70.3 PPM
SO3,0.135%,S  KA1-HR-Tr,0.135,2.08%,41.0 PPM,0.00037,,,,,,21.7 PPM
MnO,0.103%,Mn KA1-HR-Tr,0.103,1.11%,23.4 PPM,0.00703,Mn KB1-HR-Tr,0.0587,2.82%,290.9 PPM,1.51,8.82 PPM
P2O5,922 PPM,P  KA1-HR-Tr,0.0922,3.28%,53.7 PPM,0.00041,,,,,,24.8 PPM
Ba,534 PPM,Ba LA1-HR-Tr,0.02,24.40%,147.8 PPM,0.06242,Ba LB1-HR-Tr,0.053,10.5%,211.4 PPM,0.01923,39.1 PPM
Sr,409 PPM,Sr KA1-HR-Tr,0.04094,0.589%,6.5 PPM,0.0,Sr KB1-HR-Tr,0.0249,1.12%,62.0 PPM,7.736,2.01 PPM
Cr,119 PPM,Cr KA1-HR-Tr,0.0119,5.13%,20.1 PPM,0.0,Cr KB1-HR-Tr,0.003,87.80%,172.6 PPM,0.09061,4.67 PPM
Cl,112 PPM,Cl KA1-HR-Tr,0.011,9.5%,34.3 PPM,0.0,,,,,,7.95 PPM
Rb,96.5 PPM,Rb KA1-HR-Tr,0.0096,1.87%,7.7 PPM,0.1738,Rb KB1-HR-Tr,0.0091,4.38%,37.5 PPM,0,1.52 PPM
Zn,91.3 PPM,Zn KA1-HR-Tr,0.0091,3.05%,9.8 PPM,0.00000,Zn KB1-HR-Tr,0.008,12.20%,60.6 PPM,0,2.18 PPM
Zr,85.8 PPM,Zr KA1-HR-Tr,0.0086,1.120%,10.9 PPM,9.646,Zr KB1-HR-Tr,0.0068,4.85%,38.9 PPM,0,1.47 PPM
Ni,83.8 PPM,Ni KA1-HR-Tr,0.0084,4.29%,12.6 PPM,0.0,Ni KB1-HR-Tr,0.004,29%,81.9 PPM,0.00373,2.76 PPM
Cu,79.7 PPM,Cu KA1-HR-Tr,0.008,3.93%,11.2 PPM,0.0,Cu KB1-HR-Tr,0.006,17.90%,66.5 PPM,0,2.43 PPM
As,12.8 PPM,As KA1-HR-Tr,0.001,15.10%,8.1 PPM,0.0,As KB1-HR-Tr,0.001,65.80%,45.4 PPM,0,1.55 PPM
Ga,12.5 PPM,Ga KA1-HR-Tr,0.001,16.7%,9.0 PPM,0.00456,Ga KB1-HR-Tr,0.001,184.00%,48.8 PPM,0,1.66 PPM
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
