,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,31.8%,Si KA1-HR-Tr,31.83,0.175%,93.1 PPM,0.0,Si KB1-HR-Tr/Ox,38.2,1.17%,0.39%,0,427 PPM
CaO,12.9%,Ca KA1-HR-Tr,12.86,0.179%,65.0 PPM,0.14180,Ca KB1-HR-Tr,9.105,0.51%,340.7 PPM,0.00354,162 PPM
Al2O3,11.0%,Al KA1-HR-Tr,10.98,0.291%,105.8 PPM,0.0,Al KB1-HR-Tr/Ox,11.2,3.05%,0.68%,0,258 PPM
Fe2O3,5.34%,Fe KA1-HR-Tr,5.335,0.122%,68.7 PPM,0.0,Fe KB1-HR-Tr,3.041,0.29%,112.7 PPM,0,13.0 PPM
K2O,3.29%,K  KA1-HR-Tr,3.287,0.328%,30.9 PPM,0.0,K  KB1-HR-Tr,2.38,0.96%,283.4 PPM,0,76.1 PPM
MgO,1.72%,Mg KA1-HR-Tr,1.72,0.672%,184.5 PPM,0.00167,,,,,,98.0 PPM
TiO2,0.718%,Ti KA1-HR-Tr,0.718,0.827%,49.2 PPM,0.00235,Ti KB1-HR-Tr,0.511,2.24%,596.0 PPM,0.26,42.9 PPM
Na2O,0.433%,Na KA1-HR-Tr,0.433,2.22%,264.7 PPM,0.02045,,,,,,87.2 PPM
SO3,898 PPM,S  KA1-HR-Tr,0.0898,2.70%,40.7 PPM,0.00121,,,,,,17.5 PPM
P2O5,698 PPM,P  KA1-HR-Tr,0.0698,3.95%,53.0 PPM,0.00063,,,,,,21.5 PPM
MnO,669 PPM,Mn KA1-HR-Tr,0.0669,1.39%,21.0 PPM,0.00778,Mn KB1-HR-Tr,0.0185,3.21%,268.4 PPM,2.006,6.64 PPM
Ba,435 PPM,Ba LA1-HR-Tr,0.044,7.18%,136.7 PPM,0.09785,Ba LB1-HR-Tr,0.036,8.56%,188.3 PPM,0.031,22.2 PPM
Sr,325 PPM,Sr KA1-HR-Tr,0.0325,0.656%,6.0 PPM,0.0,Sr KB1-HR-Tr,0.0184,1.02%,60.7 PPM,10.92,1.73 PPM
V,158 PPM,V  KA1-HR-Tr,0.016,11.1%,39.8 PPM,0.23290,,,,,,16.1 PPM
Rb,153 PPM,Rb KA1-HR-Tr,0.0153,1.22%,7.0 PPM,0.15750,Rb KB1-HR-Tr,0.0099,3.15%,34.9 PPM,0,1.52 PPM
Cr,110 PPM,Cr KA1-HR-Tr,0.011,4.55%,27.3 PPM,0.22620,Cr KB1-HR-Tr,0.003,89.30%,147.4 PPM,0.07019,4.27 PPM
Zn,109 PPM,Zn KA1-HR-Tr,0.0109,2.50%,8.9 PPM,0.0,Zn KB1-HR-Tr,0.004,50.60%,56.3 PPM,0,2.04 PPM
Zr,108 PPM,Zr KA1-HR-Tr,0.0108,1.02%,9.7 PPM,8.692,Zr KB1-HR-Tr,0.0602,4.15%,37.1 PPM,0.00443,1.38 PPM
Ni,98.5 PPM,Ni KA1-HR-Tr,0.0098,3.58%,11.5 PPM,0.0,Ni KB1-HR-Tr,0.003,92.30%,77.0 PPM,0.01606,2.56 PPM
Cu,80.7 PPM,Cu KA1-HR-Tr,0.0081,3.74%,10.3 PPM,0.0,Cu KB1-HR-Tr,0.005,16.70%,60.2 PPM,0,2.23 PPM
Nb,42.8 PPM,Nb KA1-HR-Tr,0.004,9.42%,6.3 PPM,0.01363,Nb KB1-HR-Tr,0.411,2%,34.1 PPM,0,1.18 PPM
Ga,23.8 PPM,Ga KA1-HR-Tr,0.002,8.65%,8.3 PPM,0.00626,Ga KB1-HR-Tr,0.001,168%,45.0 PPM,0,1.57 PPM
As,17.3 PPM,As KA1-HR-Tr,0.002,10.7%,7.4 PPM,0.0,As KB1-HR-Tr,0,4924%,42.2 PPM,0,1.44 PPM
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
