,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,29.9%,Si KA1-HR-Tr,29.93,0.173%,87.1 PPM,0.0,Si KB1-HR-Tr/Ox,35.3,1.17%,0.36%,0,400 PPM
CaO,23.8%,Ca KA1-HR-Tr,23.83,0.128%,61.6 PPM,0.07777,Ca KB1-HR-Tr,17.72,0.36%,342.7 PPM,0.00284,218 PPM
Al2O3,7.91%,Al KA1-HR-Tr,7.912,0.334%,92.0 PPM,0.0,Al KB1-HR-Tr/Ox,8.1,3.57%,0.62%,0,215 PPM
Fe2O3,4.01%,Fe KA1-HR-Tr,4.013,0.151%,75.9 PPM,0.0,Fe KB1-HR-Tr,2.657,0.36%,127.7 PPM,0,12.5 PPM
MgO,2.23%,Mg KA1-HR-Tr,2.225,0.562%,171.5 PPM,0.00084,,,,,,107 PPM
K2O,1.73%,K  KA1-HR-Tr,1.734,0.439%,29.6 PPM,0.0,K  KB1-HR-Tr,1.29,1.32%,299.7 PPM,0,54.6 PPM
TiO2,0.480%,Ti KA1-HR-Tr,0.48,1.09%,54.3 PPM,0.00093,Ti KB1-HR-Tr,0.37,3.30%,514.9 PPM,0.0364,40.1 PPM
SO3,0.142%,S  KA1-HR-Tr,0.142,2.00%,38.3 PPM,0.00037,,,,,,20.7 PPM
MnO,0.118%,Mn KA1-HR-Tr,0.118,1.04%,22.8 PPM,0.00711,Mn KB1-HR-Tr,0.047,8.13%,276.7 PPM,1.271,9.14 PPM
P2O5,733 PPM,P  KA1-HR-Tr,0.0733,3.69%,50.6 PPM,0.00041,,,,,,21.2 PPM
Na2O,711 PPM,Na KA1-HR-Tr,0.071,7.31%,240.9 PPM,0.01767,,,,,,48.6 PPM
Sr,423 PPM,Sr KA1-HR-Tr,0.04227,0.579%,6.4 PPM,0.0,Sr KB1-HR-Tr,0.0226,1.14%,59.9 PPM,7.206,1.99 PPM
Ba,208 PPM,Ba LA1-HR-Tr,0.021,13.1%,144.1 PPM,0.05431,Ba LB1-HR-Tr,0.017,19.10%,209.6 PPM,0.01671,22.5 PPM
Cr,121 PPM,Cr KA1-HR-Tr,0.0121,5.14%,19.8 PPM,0.0,Cr KB1-HR-Tr,0.006,22.60%,172.3 PPM,0.1037,4.61 PPM
Ni,98.9 PPM,Ni KA1-HR-Tr,0.0099,3.73%,12.2 PPM,0.0,Ni KB1-HR-Tr,0.005,25.50%,78.6 PPM,0.00347,2.73 PPM
Zn,89.1 PPM,Zn KA1-HR-Tr,0.0089,3.11%,9.4 PPM,0.0,Zn KB1-HR-Tr,0.003,26.90%,59.8 PPM,0,2.09 PPM
Rb,84.0 PPM,Rb KA1-HR-Tr,0.0084,2.11%,7.6 PPM,0.1828,Rb KB1-HR-Tr,0.0078,4.66%,36.8 PPM,0,1.46 PPM
Zr,80.0 PPM,Zr KA1-HR-Tr,0.008,1.14%,10.8 PPM,9.928,Zr KB1-HR-Tr,0.0058,5.02%,37.6 PPM,0,1.43 PPM
Cl,79.1 PPM,Cl KA1-HR-Tr,0.008,12.5%,31.2 PPM,0.0,,,,,,6.92 PPM
Cu,72.9 PPM,Cu KA1-HR-Tr,0.0073,4.26%,10.8 PPM,0.0,Cu KB1-HR-Tr,0.007,13.80%,63.8 PPM,0,2.33 PPM
As,10.8 PPM,As KA1-HR-Tr,0.001,17.8%,7.8 PPM,0.0,As KB1-HR-Tr,0,,44.5 PPM,0,1.50 PPM
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
