,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
CaO,27.8%,Ca KA1-HR-Tr,27.76,0.117%,167.6 PPM,0.06799,Ca KB1-HR-Tr,17.38,0.33%,303.7 PPM,0.00273,51.7 PPM
SiO2,19.5%,Si KA1-HR-Tr,19.53,0.212%,65.2 PPM,0.0,Si KB1-HR-Tr/Ox,22.9,1.44%,0.28%,0,282 PPM
Al2O3,4.79%,Al KA1-HR-Tr,4.786,0.426%,68.4 PPM,0.0,Al KB1-HR-Tr/Ox,4.54,4.94%,0.49%,0,152 PPM
MgO,3.40%,Mg KA1-HR-Tr,3.404,0.435%,141.0 PPM,0.00117,,,,,,118 PPM
Fe2O3,2.78%,Fe KA1-HR-Tr,2.781,0.188%,73.9 PPM,0.0,Fe KB1-HR-Tr,1.559,0.46%,124.3 PPM,0,9.79 PPM
K2O,1.24%,K  KA1-HR-Tr,1.239,0.509%,23.9 PPM,0.0,K  KB1-HR-Tr,0.788,1.55%,259.0 PPM,0,38.4 PPM
TiO2,0.361%,Ti KA1-HR-Tr,0.361,1.31%,49.2 PPM,0.0,Ti KB1-HR-Tr,0.251,4.30%,387.3 PPM,0,33.3 PPM
MnO,808 PPM,Mn KA1-HR-Tr,0.0808,1.37%,22.1 PPM,0.00532,Mn KB1-HR-Tr,0.0394,3.92%,249.6 PPM,0.9044,7.50 PPM
P2O5,551 PPM,P  KA1-HR-Tr,0.0551,4.17%,42.2 PPM,0.00102,,,,,,15.7 PPM
Na2O,467 PPM,Na KA1-HR-Tr,0.047,9.19%,194.7 PPM,0.01361,,,,,,38.3 PPM
Sr,365 PPM,Sr KA1-HR-Tr,0.0365,0.652%,6.2 PPM,0.0,Sr KB1-HR-Tr,0.0027,1.39%,67.5 PPM,14.78,1.81 PPM
SO3,299 PPM,S  KA1-HR-Tr,0.0299,5.00%,30.9 PPM,0.00093,,,,,,9.11 PPM
Zr,158 PPM,Zr KA1-HR-Tr,0.0158,1.39%,10.1 PPM,8.941,Zr KB1-HR-Tr,0.0523,5.27%,36.6 PPM,0,1.33 PPM
Cl,107 PPM,Cl KA1-HR-Tr,0.011,9.55%,25.7 PPM,0.0,,,,,,5.94 PPM
Cr,89.2 PPM,Cr KA1-HR-Tr,0.009,7.10%,19.5 PPM,0.0,Cr KB1-HR-Tr,-0.001,111%,163.9 PPM,0.07299,4.25 PPM
Ni,70.2 PPM,Ni KA1-HR-Tr,0.007,5.30%,11.8 PPM,0.0,Ni KB1-HR-Tr,0.004,27.10%,76.8 PPM,0.00334,2.49 PPM
Cu,66.2 PPM,Cu KA1-HR-Tr,0.0066,4.90%,10.6 PPM,0.0,Cu KB1-HR-Tr,0.006,14.10%,62.1 PPM,0,2.22 PPM
Zn,59.8 PPM,Zn KA1-HR-Tr,0.006,4.63%,9.1 PPM,0.0,Zn KB1-HR-Tr,0.001,157.00%,57.8 PPM,0,1.91 PPM
Rb,58.4 PPM,Rb KA1-HR-Tr,0.0058,2.98%,7.3 PPM,0.1669,Rb KB1-HR-Tr,0.004,7.66%,35.8 PPM,0,1.35 PPM
As,13.3 PPM,As KA1-HR-Tr,0.001,15.5%,7.7 PPM,0.0,As KB1-HR-Tr,0,,43.3 PPM,0,1.48 PPM
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
