,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,29.1%,Si KA1-HR-Tr,29.06,0.188%,93.3 PPM,0.00000,Si KB1-HR-Tr/Ox,34,1.27%,0.39%,0,423 PPM
CaO,19.0%,Ca KA1-HR-Tr,19.04,0.148%,63.3 PPM,0.09118,Ca KB1-HR-Tr,13.47,0.42%,351.5 PPM,0.00291,198 PPM
Al2O3,8.56%,Al KA1-HR-Tr,8.562,0.346%,109.0 PPM,0.0,Al KB1-HR-Tr/Ox,8.5,9.34%,0.69%,0,243 PPM
Fe2O3,4.73%,Fe KA1-HR-Tr,4.726,0.135%,77.2 PPM,0.0,Fe KB1-HR-Tr,2.827,0.32%,128.2 PPM,0,13.1 PPM
MgO,2.19%,Mg KA1-HR-Tr,2.19,0.617%,189.6 PPM,0.00126,,,,,,117 PPM
K2O,2.15%,K  KA1-HR-Tr,2.15,0.408%,30.4 PPM,0.0,K  KB1-HR-Tr,1.49,1.25%,301.6 PPM,0,62.3 PPM
TiO2,0.560%,Ti KA1-HR-Tr,0.56,0.989%,54.3 PPM,0.00140,Ti KB1-HR-Tr,0.4,2.99%,530.8 PPM,0.05507,41.2 PPM
Na2O,0.218%,Na KA1-HR-Tr,0.218,3.59%,268.9 PPM,0.01655,,,,,,72.0 PPM
SO3,0.120%,S  KA1-HR-Tr,0.12,2.32%,40.8 PPM,0.00040,,,,,,20.0 PPM
MnO,995 PPM,Mn KA1-HR-Tr,0.0995,1.14%,23.1 PPM,0.00661,Mn KB1-HR-Tr,0.03,8.51%,284.8 PPM,1.59,8.35 PPM
P2O5,800 PPM,P  KA1-HR-Tr,0.08,3.74%,57.6 PPM,0.00044,,,,,,23.3 PPM
Sr,419 PPM,Sr KA1-HR-Tr,0.04191,0.582%,6.8 PPM,0.0,Sr KB1-HR-Tr,0.0213,1.1%,64.2 PPM,8.598,2.03 PPM
Ba,294 PPM,Ba LA1-HR-Tr,0.029,10.3%,145.1 PPM,0.06746,Ba LB1-HR-Tr,0.033,10.50%,207.7 PPM,0.02082,23.0 PPM
Cr,105 PPM,Cr KA1-HR-Tr,0.0105,5.82%,19.8 PPM,0.0,Cr KB1-HR-Tr,0.001,119.00%,169.8 PPM,0.09323,4.43 PPM
Zn,101 PPM,Zn KA1-HR-Tr,0.0101,2.83%,9.9 PPM,0.0,Zn KB1-HR-Tr,0.005,41.10%,62.0 PPM,0,2.21 PPM
Rb,93.0 PPM,Rb KA1-HR-Tr,0.0093,1.98%,8.0 PPM,0.1871,Rb KB1-HR-Tr,0.0074,4.69%,39.4 PPM,0,1.55 PPM
Zr,92.8 PPM,Zr KA1-HR-Tr,0.0093,1.11%,11.1 PPM,10.150,Zr KB1-HR-Tr,0.0066,4.32%,41.4 PPM,0,1.52 PPM
Ni,83.7 PPM,Ni KA1-HR-Tr,0.0084,4.36%,12.6 PPM,0.0,Ni KB1-HR-Tr,0.003,33.30%,82.7 PPM,0.00355,2.72 PPM
Cu,71.8 PPM,Cu KA1-HR-Tr,0.0072,4.38%,11.3 PPM,0.0,Cu KB1-HR-Tr,0.005,18.30%,67.4 PPM,0,2.40 PPM
As,16.0 PPM,As KA1-HR-Tr,0.002,12.5%,8.3 PPM,0.0,As KB1-HR-Tr,0,726.00%,47.1 PPM,0,1.60 PPM
Ga,14.5 PPM,Ga KA1-HR-Tr,0.001,14.9%,9.2 PPM,0.00536,Ga KB1-HR-Tr,0,,50.2 PPM,0,1.71 PPM
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
