,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,38.6%,Si KA1-HR-Tr,38.57,0.155%,98.2 PPM,0.0,Si KB1-HR-Tr/Ox,35.3,2.98%,0.40%,0,476 PPM
Al2O3,12.0%,Al KA1-HR-Tr,11.95,0.270%,109.4 PPM,0.0,Al KB1-HR-Tr/Ox,11.8,2.90%,0.71%,0,267 PPM
CaO,11.4%,Ca KA1-HR-Tr,11.4,0.187%,60.7 PPM,0.1052,Ca KB1-HR-Tr,8.374,0.54%,320.1 PPM,0.00367,157 PPM
Fe2O3,5.80%,Fe KA1-HR-Tr,3.9,0.113%,65.9 PPM,0.0,Fe KB1-HR-Tr,5.796,0.266%,107.8 PPM,0,115 PPM
K2O,2.55%,K  KA1-HR-Tr,2.552,0.370%,31.3 PPM,0.0,K  KB1-HR-Tr,1.88,1.12%,281.6 PPM,0,70.7 PPM
MgO,1.35%,Mg KA1-HR-Tr,1.35,0.745%,182.4 PPM,0.00151,,,,,,87.1 PPM
TiO2,0.797%,Ti KA1-HR-Tr,0.797,0.761%,47.3 PPM,0.00183,Ti KB1-HR-Tr,0.597,2.05%,598.5 PPM,0.2703,45.4 PPM
Na2O,891 PPM,Na KA1-HR-Tr,0.089,6.09%,250.2 PPM,0.02514,,,,,,51.3 PPM
P2O5,706 PPM,P  KA1-HR-Tr,0.0706,3.92%,54.8 PPM,0.00061,,,,,,22.6 PPM
MnO,643 PPM,Mn KA1-HR-Tr,0.0643,1.38%,20.2 PPM,0.00711,Mn KB1-HR-Tr,0.015,7.68%,267.8 PPM,2.208,6.53 PPM
Sr,352 PPM,Sr KA1-HR-Tr,0.0352,0.604%,5.7 PPM,0.0,Sr KB1-HR-Tr,0.023,0.90%,60.9 PPM,12.63,1.75 PPM
Ba,333 PPM,Ba LA1-HR-Tr,0.033,7.88%,136.7 PPM,0.1106,Ba LB1-HR-Tr,0.021,8.49%,253.5 PPM,0.209,21.2 PPM
Ce,230 PPM,Ce LA1-HR-Tr,0.023,8.49%,159.0 PPM,0.2156,Ce LB1-HR-Tr,0.003,79.00%,141.3 PPM,0,21.9 PPM
SO3,199 PPM,S  KA1-HR-Tr,0.02,7.12%,41.7 PPM,0.00075,,,,,,10.9 PPM
V,183 PPM,V  KA1-HR-Tr,0.018,9.78%,40.2 PPM,0.2602,,,,,,16.7 PPM
Rb,142 PPM,Rb KA1-HR-Tr,0.0142,1.25%,6.8 PPM,0.1708,Rb KB1-HR-Tr,0.0099,3.32%,33.2 PPM,0,1.46 PPM
Zn,128 PPM,Zn KA1-HR-Tr,0.0128,2.12%,8.6 PPM,0.0,Zn KB1-HR-Tr,0.006,31.40%,54.6 PPM,0,2.07 PPM
Zr,125 PPM,Zr KA1-HR-Tr,0.0125,0.896%,9.6 PPM,9.362,Zr KB1-HR-Tr,0.007,3.76%,34.7 PPM,0.00151,1.38 PPM
Cr,98.5 PPM,Cr KA1-HR-Tr,0.0098,4.56%,27.3 PPM,0.2673,Cr KB1-HR-Tr,0.006,23.40%,142.0 PPM,0.06844,4.14 PPM
Cu,83.8 PPM,Cu KA1-HR-Tr,0.0084,3.46%,9.9 PPM,0.0,Cu KB1-HR-Tr,0.009,10.20%,58.1 PPM,0,2.20 PPM
Ni,82.6 PPM,Ni KA1-HR-Tr,0.0083,3.98%,11.1 PPM,0.0,Ni KB1-HR-Tr,0.003,32.10%,73.4 PPM,0.00847,2.45 PPM
Ga,16.5 PPM,Ga KA1-HR-Tr,0.002,11.6%,8.0 PPM,0.00734,Ga KB1-HR-Tr,0,,43.3 PPM,0,1.50 PPM
As,15.7 PPM,As KA1-HR-Tr,0.002,11.2%,7.2 PPM,0.0,As KB1-HR-Tr,0.001,92.10%,40.7 PPM,0,1.40 PPM
Nb,14.5 PPM,Nb KA1-HR-Tr,0.001,9.27%,6.0 PPM,0.01585,Nb KB1-HR-Tr,0.0346,2.02%,32.3 PPM,0,1.12 PPM
,,,,,,,,,,,,
