,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,55.7%,Si KA1-HR-Tr,55.67,0.120%,193.6 PPM,0.00601,Si KB1-HR-Tr/Ox,42,0.80%,0.74%,0.4287,200 PPM
Al2O3,2.15%,Al KA1-HR-Tr,2.15,0.599%,57.9 PPM,0.0,Al KB1-HR-Tr/Ox,2.8,16.30%,0.45%,0,91.2 PPM
K2O,1.86%,K  KA1-HR-Tr,1.86,0.447%,22.3 PPM,0.0,K  KB1-HR-Tr,1.21,1.32%,177.4 PPM,0.00000,54.3 PPM
Ba,720 PPM,Ba LA1-HR-Tr,0.072,4.92%,64.0 PPM,0.01333,Ba LB1-HR-Tr,0.028,7.01%,115.7 PPM,0.0,15.4 PPM
W,660 PPM,W  LA1-HR-Tr,0.066,2.43%,14.6 PPM,0.00128,W  LB1-HR-Tr,0.064,3.63%,20.4 PPM,0.0,3.28 PPM
TiO2,626 PPM,Ti KA1-HR-Tr,0.0626,2.78%,30.6 PPM,0.00596,Ti KB1-HR-Tr,0.025,8.58%,375.0 PPM,0.2,10.4 PPM
Na2O,533 PPM,Na KA1-HR-Tr,0.053,7.07%,127.1 PPM,0.00093,,,,,,31.6 PPM
Fe2O3,379 PPM,Fe KA1-HR-Tr,0.0379,1.54%,12.4 PPM,0.01070,Fe KB1-HR-Tr,0.014,7.00%,72.7 PPM,0.00125,3.49 PPM
P2O5,305 PPM,P  KA1-HR-Tr,0.03,6.91%,58.9 PPM,0.00282,,,,,,15.8 PPM
Pb,250 PPM,Pb LB1-HR-Tr,0.025,6.38%,10.6 PPM,0.0,Pb LA1-HR-Tr,0.0257,5.27%,10.3 PPM,0.00000,2.08 PPM
Sr,148 PPM,Sr KA1-HR-Tr,0.0148,2.43%,3.2 PPM,0.0,Sr KB1-HR-Tr,-0.0273,1.90%,33.9 PPM,16.15000,0.666 PPM
Rb,128 PPM,Rb KA1-HR-Tr,0.0128,2.61%,3.7 PPM,0.18980,Rb KB1-HR-Tr,0.012,13.30%,20.9 PPM,0.3,0.698 PPM
CaO,97.7 PPM,Ca KA1-HR-Tr,0.01,7.55%,40.2 PPM,0.09138,Ca KB1-HR-Tr,0.01,90.00%,227.8 PPM,0.00373,6.28 PPM
SO3,75.9 PPM,S  KA1-HR-Tr,0.008,15.1%,40.1 PPM,0.00338,,,,,,8.00 PPM
Zr,75.4 PPM,Zr KA1-HR-Tr,0.0075,1.90%,5.0 PPM,8.76600,Zr KB1-HR-Tr,0.0824,3.44%,20.1 PPM,0.00000,0.655 PPM
Cu,41.5 PPM,Cu KA1-HR-Tr,0.0041,4.34%,5.5 PPM,0.0,Cu KB1-HR-Tr,0.002,34.60%,32.2 PPM,0.00000,1.15 PPM
Ni,18.6 PPM,Ni KA1-HR-Tr,0.002,10.6%,6.4 PPM,0.00357,Ni KB1-HR-Tr,0,451.00%,45.4 PPM,0.2,1.22 PPM
Co,13.7 PPM,Co KA1-HR-Tr,0.001,14.2%,7.2 PPM,0.03430,Co KB1-HR-Tr,0,289.00%,41.4 PPM,0.0,1.27 PPM
