,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,43.5%,Si KA1-HR-Tr,43.48,0.143%,99.4 PPM,0.00083,Si KB1-HR-Tr/Ox,52.4,0.95%,0.57%,0.05826,470 PPM
Al2O3,9.01%,Al KA1-HR-Tr,9.009,0.306%,92.9 PPM,0.0,Al KB1-HR-Tr/Ox,9.33,3.25%,0.64%,0,219 PPM
CaO,7.90%,Ca KA1-HR-Tr,7.904,0.225%,51.6 PPM,0.08270,Ca KB1-HR-Tr,5.4,0.65%,287.9 PPM,0.00309,124 PPM
Fe2O3,4.32%,Fe KA1-HR-Tr,4.321,0.128%,59.9 PPM,0.0,Fe KB1-HR-Tr,2.304,0.31%,98.4 PPM,0,10.7 PPM
K2O,1.93%,K  KA1-HR-Tr,1.928,0.430%,26.5 PPM,0.0,K  KB1-HR-Tr,1.35,1.30%,247.7 PPM,0,59.3 PPM
MgO,1.05%,Mg KA1-HR-Tr,1.05,0.834%,159.1 PPM,0.00134,,,,,,73.2 PPM
TiO2,0.618%,Ti KA1-HR-Tr,0.618,0.842%,40.2 PPM,0.00138,Ti KB1-HR-Tr,0.414,2.45%,403.3 PPM,0.05432,36.5 PPM
Na2O,0.164%,Na KA1-HR-Tr,0.164,3.77%,216.6 PPM,0.01648,,,,,,55.8 PPM
P2O5,830 PPM,P  KA1-HR-Tr,0.083,3.62%,62.8 PPM,0.00418,,,,,,23.9 PPM
Zr,752 PPM,Zr KA1-HR-Tr,0.07518,0.587%,7.4 PPM,5.090,Zr KB1-HR-Tr,0.122,2.02%,31.2 PPM,0.00393,1.40 PPM
MnO,354 PPM,Mn KA1-HR-Tr,0.0354,1.98%,18.3 PPM,0.00749,Mn KB1-HR-Tr,-0.002,10.90%,229.0 PPM,1.896,4.85 PPM
Ba,222 PPM,Ba LA1-HR-Tr,0.022,9.98%,115.6 PPM,0.09693,Ba LB1-HR-Tr,0.012,12.70%,201.0 PPM,0.1208,17.3 PPM
SO3,172 PPM,S  KA1-HR-Tr,0.017,7.95%,43.7 PPM,0.00368,,,,,,10.2 PPM
Sr,159 PPM,Sr KA1-HR-Tr,0.0159,0.993%,5.1 PPM,0.00231,Sr KB1-HR-Tr,-0.03704,0.59%,92.3 PPM,89,1.26 PPM
W,118 PPM,W  LA1-HR-Tr,0.012,7.00%,24.4 PPM,0.01115,W  LB1-HR-Tr,0.004,8.19%,34.6 PPM,0.01599,4.64 PPM
Ce,104 PPM,Ce LA1-HR-Tr,0.01,12.7%,133.2 PPM,0.16990,Ce LB1-HR-Tr,0,,126.0 PPM,0,17.9 PPM
Cr,91.0 PPM,Cr KA1-HR-Tr,0.0091,5.77%,16.1 PPM,0.0,Cr KB1-HR-Tr,0.008,19.60%,123.6 PPM,0.04322,3.56 PPM
Rb,80.7 PPM,Rb KA1-HR-Tr,0.0081,1.83%,5.8 PPM,0.09201,Rb KB1-HR-Tr,0.0038,4.03%,39.5 PPM,1.856,1.18 PPM
Zn,77.2 PPM,Zn KA1-HR-Tr,0.0077,3.01%,7.7 PPM,0.0,Zn KB1-HR-Tr,0.003,42.80%,56.8 PPM,0.161,1.69 PPM
Ni,68.6 PPM,Ni KA1-HR-Tr,0.0069,4.36%,10.3 PPM,0.00829,Ni KB1-HR-Tr,0.004,21.00%,67.3 PPM,0.02916,2.11 PPM
Cu,59.4 PPM,Cu KA1-HR-Tr,0.0059,4.35%,8.8 PPM,0.0,Cu KB1-HR-Tr,0.003,54%,52.1 PPM,0,1.86 PPM
Nb,31.9 PPM,Nb KA1-HR-Tr,0.003,9.95%,5.9 PPM,0.36290,Nb KB1-HR-Tr,0.41,1.83%,29.1 PPM,0,1.00 PPM
As,16.0 PPM,As KA1-HR-Tr,0.002,10.2%,6.4 PPM,0.0,As KB1-HR-Tr,0,397%,39.1 PPM,0.07698,1.24 PPM
Y,16.0 PPM,Y  KA1-HR-Tr,0.0016,4.03%,7.6 PPM,2.643,Y  KB1-HR-Tr,-0.002,9.95%,39.1 PPM,2.457,1.09 PPM
