,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,32.9%,Si KA1-HR-Tr,32.92,0.166%,84.4 PPM,0.0,Si KB1-HR-Tr/Ox,38.1,1.13%,0.35%,0,399 PPM
CaO,10.7%,Ca KA1-HR-Tr,10.72,0.193%,55.4 PPM,0.11570,Ca KB1-HR-Tr,6.966,0.55%,292.6 PPM,0.00396,137 PPM
Al2O3,10.1%,Al KA1-HR-Tr,10.07,0.292%,93.0 PPM,0.0,Al KB1-HR-Tr/Ox,10.1,3.09%,0.60%,0.00000,225 PPM
Fe2O3,5.87%,Fe KA1-HR-Tr,3.463,0.112%,61.3 PPM,0.0,Fe KB1-HR-Tr,5.873,0.26%,100.8 PPM,0.0,106 PPM
K2O,2.49%,K  KA1-HR-Tr,2.489,0.373%,26.5 PPM,0.0,K  KB1-HR-Tr,1.64,1.13%,249.8 PPM,0.0,62.2 PPM
MgO,1.30%,Mg KA1-HR-Tr,1.3,0.740%,156.3 PPM,0.00189,,,,,,78.7 PPM
TiO2,0.78%,Ti KA1-HR-Tr,0.781,0.769%,43.7 PPM,0.00195,Ti KB1-HR-Tr,0.519,2.08%,543.6 PPM,0.26950,40.8 PPM
Na2O,965 PPM,Na KA1-HR-Tr,0.0965,5.39%,221.5 PPM,0.02664,,,,,,47.2 PPM
P2O5,689 PPM,P  KA1-HR-Tr,0.0689,3.90%,51.9 PPM,0.00170,,,,,,20.2 PPM
MnO,490 PPM,Mn KA1-HR-Tr,0.049,1.66%,19.0 PPM,0.00897,Mn KB1-HR-Tr,0.004,7.92%,253.6 PPM,2.45000,5.46 PPM
Sr,354 PPM,Sr KA1-HR-Tr,0.03539,0.598%,5.4 PPM,0.0,Sr KB1-HR-Tr,-0.0063,0.94%,73.6 PPM,32.76000,1.65 PPM
Ba,321 PPM,Ba LA1-HR-Tr,0.032,8.25%,126.9 PPM,0.11970,Ba LB1-HR-Tr,0.027,9.91%,177.2 PPM,0.0,19.2 PPM
Zr,307 PPM,Zr KA1-HR-Tr,0.0307,0.936%,9.2 PPM,10.050,Zr KB1-HR-Tr,0.0558,4.48%,33.3 PPM,0.00478,1.29 PPM
V,161 PPM,V  KA1-HR-Tr,0.016,10.4%,37.1 PPM,0.28150,,,,,,14.8 PPM
SO3,156 PPM,S  KA1-HR-Tr,0.016,8.30%,37.8 PPM,0.00223,,,,,,8.98 PPM
Rb,138 PPM,Rb KA1-HR-Tr,0.0138,1.27%,6.4 PPM,0.18360,Rb KB1-HR-Tr,0.0083,3.18%,31.4 PPM,0.00000,1.37 PPM
Zn,124 PPM,Zn KA1-HR-Tr,0.0124,2.21%,8.2 PPM,0.0,Zn KB1-HR-Tr,0.005,14.20%,51.4 PPM,0.0,1.94 PPM
Cr,113 PPM,Cr KA1-HR-Tr,0.0113,4.28%,25.1 PPM,0.25930,Cr KB1-HR-Tr,0.004,75.90%,129.2 PPM,0.1,3.89 PPM
Cu,84.0 PPM,Cu KA1-HR-Tr,0.0084,3.54%,9.5 PPM,0.0,Cu KB1-HR-Tr,0.008,9.97%,55.5 PPM,0,2.09 PPM
Ni,83.7 PPM,Ni KA1-HR-Tr,0.0084,4.05%,10.6 PPM,0.0,Ni KB1-HR-Tr,0.003,28.50%,71.4 PPM,0.01751,2.32 PPM
Cl,58.5 PPM,Cl KA1-HR-Tr,0.006,16.4%,29.4 PPM,0.0,,,,,,6.31 PPM
Nb,43.2 PPM,Nb KA1-HR-Tr,0.004,9.29%,5.8 PPM,0.04140,Nb KB1-HR-Tr,0.386,2.05%,30.7 PPM,0,1.06 PPM
As,19.2 PPM,As KA1-HR-Tr,0.002,9.38%,6.8 PPM,0.0,As KB1-HR-Tr,0,5881%,38.3 PPM,0,1.33 PPM
Ga,13.9 PPM,Ga KA1-HR-Tr,0.001,14.0%,7.7 PPM,0.00763,Ga KB1-HR-Tr,0.001,120.00%,41.1 PPM,0.0,1.41 PPM
