,Concentration,Line 1,Calc. concentration,Stat. error,LLD,Overlaps,Line 2,Calc. concentration,Stat. error,LLD,Overlaps,Total CSE
SiO2,38.5%,Si KA1-HR-Tr,38.51,0.155%,96.4 PPM,0.0,Si KB1-HR-Tr/Ox,44.9,1.05%,0.40%,0.0,466 PPM
Al2O3,11.5%,Al KA1-HR-Tr,11.54,0.274%,106.9 PPM,0.0,Al KB1-HR-Tr/Ox,11.6,2.90%,0.69%,0.0,257 PPM
CaO,10.1%,Ca KA1-HR-Tr,10.06,0.200%,59.1 PPM,0.11240,Ca KB1-HR-Tr,7.244,0.57%,312.2 PPM,0.0,145 PPM
Fe2O3,5.80%,Fe KA1-HR-Tr,3.741,0.112%,64.7 PPM,0.0,Fe KB1-HR-Tr,5.799,0.263%,105.9 PPM,0.0,112 PPM
K2O,2.68%,K  KA1-HR-Tr,2.676,0.362%,29.7 PPM,0.0,K  KB1-HR-Tr,1.92,1.09%,265.7 PPM,0.000,71.0 PPM
MgO,1.33%,Mg KA1-HR-Tr,1.33,0.75%,173.8 PPM,0.00187,,,,,,84.6 PPM
TiO2,0.803%,Ti KA1-HR-Tr,0.803,0.75%,46.5 PPM,0.00179,Ti KB1-HR-Tr,0.585,2.03%,566.9 PPM,0.2512,44.1 PPM
Na2O,0.163%,Na KA1-HR-Tr,0.163,4.01%,252.7 PPM,0.02357,,,,,,60.0 PPM
P2O5,704 PPM,P  KA1-HR-Tr,0.0704,3.95%,56.0 PPM,0.00074,,,,,,22.4 PPM
MnO,592 PPM,Mn KA1-HR-Tr,0.0592,1.45%,19.9 PPM,0.00649,Mn KB1-HR-Tr,0.007,8.11%,262.6 PPM,2.304,6.18 PPM
Ba,311 PPM,Ba LA1-HR-Tr,0.031,8.170%,133.6 PPM,0.11640,Ba LB1-HR-Tr,0.025,10.90%,183.8 PPM,0.037,20.4 PPM
SO3,254 PPM,S  KA1-HR-Tr,0.0254,5.8%,38.6 PPM,0.00089,,,,,,11.2 PPM
Sr,216 PPM,Sr KA1-HR-Tr,0.0216,0.85%,5.6 PPM,0.00000,Sr KB1-HR-Tr,0.0186,0.87%,62.4 PPM,15.9,1.48 PPM
V,160 PPM,V  KA1-HR-Tr,0.016,10.40%,39.2 PPM,0.27350,,,,,,15.7 PPM
Zr,152 PPM,Zr KA1-HR-Tr,0.0152,0.87%,8.5 PPM,6.02800,Zr KB1-HR-Tr,0.0077,3.2%,33.8 PPM,0.00165,1.35 PPM
Rb,142 PPM,Rb KA1-HR-Tr,0.0142,1.24%,6.5 PPM,0.10860,Rb KB1-HR-Tr,0.0092,3.32%,32.4 PPM,0.00000,1.42 PPM
Zn,118 PPM,Zn KA1-HR-Tr,0.0118,2.25%,8.4 PPM,0.0,Zn KB1-HR-Tr,0.007,11.10%,53.0 PPM,0.0,1.98 PPM
Cr,86.1 PPM,Cr KA1-HR-Tr,0.0086,5.0%,26.0 PPM,0.24360,Cr KB1-HR-Tr,0.001,163.00%,138.9 PPM,0.1,3.92 PPM
Ni,76.1 PPM,Ni KA1-HR-Tr,0.0076,4.25%,10.8 PPM,0.0,Ni KB1-HR-Tr,0.003,75.30%,71.3 PPM,0.0086,2.36 PPM
Cu,76.0 PPM,Cu KA1-HR-Tr,0.0076,3.73%,9.7 PPM,0.00000,Cu KB1-HR-Tr,0.007,32.00%,56.7 PPM,0,2.11 PPM
Ga,21.5 PPM,Ga KA1-HR-Tr,0.002,8.98%,7.8 PPM,0.0,Ga KB1-HR-Tr,0.001,105.00%,42.2 PPM,0,1.48 PPM
As,18.8 PPM,As KA1-HR-Tr,0.002,9.30%,6.9 PPM,0.00000,As KB1-HR-Tr,0.001,49.60%,39.3 PPM,0,1.36 PPM
Nb,15.4 PPM,Nb KA1-HR-Tr,0.002,8.59%,5.9 PPM,0.01998,Nb KB1-HR-Tr,0.342,2.02%,31.5 PPM,0,1.09 PPM
,,,,,,,,,,,,
,,,,,,,,,,,,
